"","year","plot","Pgrass","Agrass","prgl","Sshrub","forb","litter","bare","sd","total","rare","t2009","t2010","t2011","t2012","t2013","t2014","t2015","t2016","t2017","t2018","ppt2009","ppt2010","ppt2011","ppt2012","ppt2013","ppt2014","ppt2015","ppt2016","ppt2017","ppt2018","meanPPT","pptsd","pptCV","ppt","treat","treat_ppt","total_WUE","Pgrass_WUE","prgl_WUE","gr_sh"
"103",2011,20,44.68464,1.02496,24.6760668,0,1.10752,0.024,0.044,0.366,71.4931868,2.13248,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,95,"ambient",95,0.752559861052632,0.470364631578947,0.259748071578947,0.345152704816902
"107",2011,46,147.50736,3.58736,22.3708672,0,1.3844,0,0.02,0.211,174.8499872,4.97176,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,95,"ambient",95,1.84052618105263,1.55270905263158,0.235482812631579,0.127943201816831
"114",2011,42,188.82864,5.63728,12.0364992,0,0.27688,0.018,0.029,0.23,206.7792992,5.91416,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,95,"ambient",95,2.17662420210526,1.98766989473684,0.126699991578947,0.0582094012629287
"119",2011,40,94.17408,3.58736,2.3271325,0,2.21504,0.015,0.033,0.446,102.3036125,5.8024,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,95,"ambient",95,1.07688013157895,0.991306105263158,0.0244961315789474,0.02274731500806
"131",2011,21,84.084,1.53744,13.3477632,6.80056,1.79972,0.003,0.087,0.257,107.5694832,10.13772,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,95,"ambient",95,1.13231034947368,0.885094736842105,0.140502770526316,0.12408503604301
"134",2011,39,115.79568,2.04992,5.84197,0,3.461,0.013,0.022,0.46,127.14857,5.51092,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,95,"ambient",95,1.338406,1.21890189473684,0.0614944210526316,0.0459460141785315
"141",2011,44,106.66656,7.30284,4.974388,0,3.18412,0,0.047,0.306,122.127908,10.48696,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,95,"ambient",95,1.28555692631579,1.12280589473684,0.0523619789473684,0.0407309687151933
"147",2011,36,41.32128,2.04992,19.4735578,0,1.52284,0,0.068,0.25,64.3675978,3.57276,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,95,"ambient",95,0.677553661052632,0.434960842105263,0.204984818947368,0.302536656106188
"150",2011,25,37.47744,2.04992,11.1444566,6.80056,0.96908,0.045,0.024,0.444,58.4414566,9.81956,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,95,"ambient",95,0.615173227368421,0.394499368421053,0.117310069473684,0.190694367463798
"154",2012,31,44.20416,0,10.77712,0,3.461,0,0.045,0.593,58.44228,3.461,1,1,1,1,1,1,1,1,1,1,73.7,128.8,95,65.6,210.5,191.9,154.94,123.7,214.12,177.04,143.53,54.7472684250091,38.1434323312263,65.6,"ambient",65.6,0.890888414634146,0.673843902439024,0.164285365853659,0.184406220975636
